10 2.277e-06
110 2.3366e-05
210 5.0314e-05
310 7.5202e-05
410 0.000103046
510 0.00018921
610 0.000162052
710 0.000244822
810 0.000239171
910 0.000313718
1010 0.000285925
1110 0.000322977
1210 0.000369226
1310 0.000404003
1410 0.000444954
1510 0.000449397
1610 0.000504556
1710 0.000901083
1810 0.000567748
1910 0.000620113
2010 0.000645497
2110 0.000666384
2210 0.00069619
2310 0.000754413
2410 0.000780183
2510 0.000843643
2610 0.000970489
2710 0.000987936
2810 0.000950344
2910 0.000964467
3010 0.00118424
3110 0.0010673
3210 0.00154287
3310 0.00129069
3410 0.0012266
3510 0.00119695
3610 0.00138511
3710 0.00132569
3810 0.00131277
3910 0.00161145
4010 0.00137992
4110 0.00139957
4210 0.00147379
4310 0.00151827
4410 0.00157492
4510 0.0015709
4610 0.00162696
4710 0.00166399
4810 0.00169126
4910 0.00175344
5010 0.00176202
5110 0.00180955
5210 0.00185238
5310 0.00189891
5410 0.00195408
5510 0.00199538
5610 0.00199222
5710 0.00205665
5810 0.00210766
5910 0.00215318
6010 0.00217998
6110 0.00221867
6210 0.00229946
6310 0.00233132
6410 0.00235236
6510 0.00235815
6610 0.00239843
6710 0.00248676
6810 0.00251258
6910 0.00258288
7010 0.00256321
7110 0.00282487
7210 0.00284785
7310 0.0027502
7410 0.00271919
7510 0.00283914
7610 0.0029191
7710 0.00299604
7810 0.00294778
7910 0.00297567
8010 0.00302726
8110 0.00309244
8210 0.00302864
8310 0.00312078
8410 0.00314308
8510 0.00322717
8610 0.00322306
8710 0.00326206
8810 0.00334577
8910 0.0033408
9010 0.00338349
9110 0.00348565
9210 0.00349581
9310 0.00352577
9410 0.00356299
9510 0.00374312
9610 0.00367372
9710 0.0037729
9810 0.00371555
9910 0.00379759
